拼音,6星干员,5星干员,4星干员,3星干员,2星干员,1星干员,成语
jie,,截云,孑 杰克 杰西卡,,,,白首一节 百堵皆作 百念皆灰 百思不得其解 百思不解 百思莫解 半间半界 半间不界 半解一知 杯酒解怨 背城借一 冰洁玉清 冰洁渊清 冰清玉洁 不间不界 不解之缘 不可究诘 不求甚解 不修小节 趁哄打劫 趁火打劫 瞠目结舌 乘机打劫 惩一戒百 叱嗟风云 楚界汉河 触目皆是 唇揭齿寒 唇竭齿寒 鹑衣百结 打家劫舍 打家截道 打家截舍 打街骂巷 大惑不解 大街小巷 大节不夺 大开眼界 大千世界 殆无孑遗 单孑独立 殚精竭力 殚智竭力 蹈节死义 砥节厉行 砥节励行 砥节砺行 砥砺风节 砥砺名节 短兵接战 短兵相接 断织之诫 咄嗟便办 咄嗟立办 咄嗟之间 放眼世界 丰屋之戒 风流蕴藉 风马不接 逢时遇节 俯拾地芥 俯拾皆是 覆车之戒 寒花晚节 毫不介意 河清海竭 红旗报捷 后车之戒 后手不接 花花世界 花阶柳市 花街柳陌 花街柳市 花街柳巷 黄花晚节 隳节败名 鸡鸣戒旦 箕山之节 驾肩接迹 驾肩接武 肩摩毂接 肩摩袂接 角立杰出 阶前万里 接风洗尘 接袂成帷 嗟悔无及 嗟来之食 街坊邻里 街坊四邻 街号巷哭 街巷阡陌 劫后余生 诘戎治兵 洁清自矢 洁身累行 洁身自爱 洁身自好 洁身自守 洁浊扬清 结不解缘 桀敖不驯 桀傲不驯 桀骜不驯 桀骜不逊 桀骜自恃 截鹤续凫 竭诚相待 羯鼓催花 解兵释甲 解甲倒戈 解甲归田 解甲休兵 解甲休士 解铃系铃 解衣般礴 解衣包火 解衣抱火 解衣推食 解疑释惑 戒备森严 戒骄戒躁 借景生情 借书留真 开花结实 开阶立极 开源节流 劳逸结合 老妪能解 力竭声嘶 厉行节约 励志竭精 柳街花巷 柳陌花街 柳市花街 柳下借阴 柳巷花街 绿林豪杰 马不解鞍 眉睫之祸 迷惑不解 靡有孑遗 俛拾地芥 摩肩接毂 末节细行 莫可究诘 目不见睫 目不交睫 目不暇接 气竭声嘶 气竭声澌 千里结言 千生万劫 前覆后戒 前街后巷 青黄不接 青黄未接 倾家竭产 清风劲节 清身洁己 情见埶竭 丧身失节 山节藻棁 声嘶力竭 螫手解腕 守节不移 授业解惑 水洁冰清 四大皆空 夙夜不解 夙夜匪解 滔滔不竭 啼笑皆非 添枝接叶 填街塞巷 条分节解 土洋结合 推诚接物 推食解衣 晚节不保 晚节黄花 万劫不复 无盐不解淡 无远不届 无远弗届 五蕴皆空 细微末节 细枝末节 下回分解 小惩大诫 修身洁行 须弥芥子 续凫截鹤 煦煦孑孑 熏风解愠 言芳行洁 阳解阴毒 一阶半级 一阶半职 一介书生 一介之善 一介之士 一支半节 一枝一节 一知半解 一肢半节 一肢一节 一坐皆惊 一座皆惊 衣不解带 移花接木 移山竭海 以酒解酲 引以为戒 引针拾芥 饮鸩解渴 隐介藏形 玉洁冰清 玉洁松贞 玉清冰洁 玉石皆碎 渊清玉絜 源清流洁 月地云阶 云阶月地 云堦月地 折节待士 折节读书 折节下士 针芥之合 针芥之契 整整截截 支分节解 支纷节解 志洁行芳 珠圆玉洁 助桀为暴
jing,,惊蛰,,,,,白蜡明经 败井颓垣 班荆道故 班荆道旧 饱经沧桑 饱经风霜 饱经风雨 饱经世变 饱经世故 饱经霜雪 杯茗之敬 杯水之敬 背井离乡 背乡离井 边尘不惊 秉文经武 博大精深 不经世故 不经之语 沉声静气 晨兢夕厉 惩一儆百 惩一警百 吃惊受怕 触景生情 春和景明 打鸭惊鸳 打鸭惊鸳鸯 大吃一惊 大莫与京 担惊受恐 担惊受怕 担雪塞井 担雪填井 耽惊受怕 躭惊受怕 殚精竭力 地棘天荆 短小精悍 断井颓垣 芳兰竟体 风景不殊 风轻云净 凫胫鹤膝 古井不波 古井无波 鼓睛暴眼 诡诞不经 鬼哭神惊 鹤怨猿惊 闳侈不经 闳大不经 荒诞不经 即景生情 急景流年 棘地荆天 歼一警百 拣精拣肥 见经识经 见精识精 见景生情 渐至佳境 借景生情 泾清渭浊 泾渭不分 泾渭分明 泾渭自分 泾渭自明 泾浊渭清 经久不息 经明行修 经年累月 经丘寻壑 经史百子 经天纬地 经纬天下 经纬万端 经文纬武 荆山之玉 荆天棘地 惊慌失措 惊慌无措 惊皇失措 惊惶失措 惊惶无措 惊见骇闻 惊神泣鬼 惊世骇目 惊世骇俗 惊世震俗 惊喜交集 惊喜交加 惊愚骇俗 兢兢乾乾 兢兢业业 兢兢翼翼 兢兢战战 精兵简政 精打细算 精神百倍 精卫填海 精益求精 井底蛤蟆 井底虾蟆 井井有方 井井有条 井井有序 井井有绪 景星凤皇 景星凤凰 景星麟凤 景星庆云 径情直遂 径情直行 径行直遂 胫大于股 敬老慈幼 敬老慈穉 敬事不暇 敬事后食 敬小慎微 镜花水月 久经风霜 累月经年 离经辨志 离乡背井 历精图治 历精为治 厉精图治 励精求治 励精图治 励志竭精 陵劲淬砺 龙马精神 龙眉豹颈 落井下石 落阱下石 买静求安 莫之与京 沐雨经霜 暮景桑榆 抛乡离井 千岩竞秀 牵经引礼 谦虚敬慎 潜精积思 潜精研思 亲临其境 清风劲节 清净无为 清静无为 清渭浊泾 情景交融 塞井焚舍 塞井夷灶 桑榆末景 桑榆暮景 桑榆之景 山鸡舞镜 身经百战 身历其境 身临其境 鼪鼯之径 鼪鼬之迳 市井无赖 市井之臣 市井之徒 水月镜花 四海波静 四书五经 溯端竟委 随珠荆玉 桃李精神 体大思精 天地经纬 天经地纬 天经地义 天荆地棘 挑精拣肥 挑雪填井 颓垣败井 颓垣废井 万流景仰 惟精惟一 纬武经文 未竟之志 渭浊泾清 文经武纬 刎颈之交 西方净土 息迹静处 洗颈就戮 系风捕景 相惊伯有 行不由径 学无止境 寻壑经丘 研经铸史 研精阐微 研精殚力 研精殚思 研精究微 研精苦思 研精致思 颜精柳骨 眼不见为净 晏开之警 业精于勤 业业兢兢 一坐皆惊 一座皆惊 颐精养神 颐养精神 以古为镜 以儆效尤 以一儆百 以一警百 引颈受戮 游山玩景 游云惊龙 有志竟成 有志者事竟成 鱼沉雁静 与物无竞 雨井烟垣 寓情于景 元经秘旨 圆木警枕 猿惊鹤怨 云集景附 云净天空 战战兢兢 贞松劲柏 枕籍经史 枕经籍书 争名竞利 正正经经 直情径行 浊泾清渭 自相惊忧 作古正经 坐井窥天
jiu,,九色鹿,,,,,按步就班 按部就班 班荆道旧 半推半就 杯酒解怨 不可究诘 不可救药 不落窠臼 不知就里 陈力就列 池酒林胾 持久之计 杵臼交 杵臼之交 斗酒学士 斗酒只鸡 凤引九雏 俯首就缚 各就各位 故旧不弃 花天酒地 化枭为鸠 话里藏阄 积素累旧 家成业就 驾轻就熟 见溺不救 见死不救 经久不息 纠缠不清 鸠车竹马 鸠集凤池 赳赳武夫 九变十化 九故十亲 九九归一 九九归原 九流百家 九流十家 九年之储 九年之蓄 九死不悔 九死未悔 九死一生 九天九地 九天揽月 九原可作 久病成医 久负盛名 久归道山 久怀慕蔺 久假不归 久经风霜 久历风尘 久闻大名 酒地花天 酒后失言 酒后无德 酒食地狱 酒食征逐 酒酸不售 旧地重游 旧话重提 旧雨重逢 臼杵之交 救焚拯溺 救火扬沸 救火拯溺 救饥拯溺 救黥医劓 救时厉俗 救死扶危 就正有道 醴酒不设 历久弥坚 龙生九子 明推暗就 莫可究诘 年深岁久 年深月久 匍匐之救 七贞九烈 弃文就武 牵羊担酒 琴歌酒赋 删华就素 绳愆纠谬 绳愆纠缪 诗酒风流 十成九稳 十年九不遇 十亲九故 十生九死 十室九空 十室九匮 十死九活 十羊九牧 十捉九着 使酒骂坐 使酒骂座 束身就缚 束手就缚 束手就禽 束手就擒 束手就殪 四姻九戚 随方就圆 随圆就方 违害就利 文期酒会 无咎无誉 无可救药 洗颈就戮 行百里者半九十 行百里者半于九十 修旧利废 修旧起废 酗酒滋事 研精究微 宴安鸠毒 一挥九制 一劳久逸 一生九死 一岁九迁 移的就箭 遗风旧俗 以火救火 以酒解酲 以水救水 因循守旧 由来已久 早韭晚菘 只鸡斗酒 只鸡絮酒 炙鸡渍酒 彘肩斗酒 重理旧业 重温旧业 自救不暇 自贻伊咎 坐视不救
ka,卡涅利安,卡夫卡,卡达,卡缇,,,
kai,凯尔希,,,,,,遍地开花 不得开交 不可开交 大开大合 大开眼界 逢山开道 逢山开路 奉为楷模 见钱眼开 开诚相见 开花结实 开基立业 开阶立极 开利除害 开锣喝道 开眉笑眼 开眉展眼 开台锣鼓 开物成务 开雾睹天 开源节流 开云见天 枯树开花 眉开眼笑 鸣锣开道 谬想天开 奇想天开 旗开得胜 情窦初开 玩岁愒时 玩岁愒月 喜笑颜开 喜逐颜开 笑逐颜开 眼开眉展 晏开之警 一代楷模 一画开天 异想天开 云开见天 云开雾释 运开时泰
ke,刻俄柏,可颂,刻刀,克洛丝,,,不可端倪 不可多得 不可教训 不可究诘 不可救药 不可开交 不可揆度 不可理喻 不可摸捉 不可企及 不可胜道 不可胜计 不可胜记 不可胜纪 不可胜数 不可胜算 不可胜言 不可收拾 不可思议 不可言喻 不可一世 不可移易 不可逾越 不可造次 不可捉摸 不落窠臼 不速之客 沉疴宿疾 楚楚可爱 触手可及 春宵一刻 撮科打哄 撮科打閧 大有可为 敌不可假 方员可施 蜂窠蚁穴 鬼刻神劖 贵不可言 和蔼可亲 后生可畏 画地刻木 画龙刻鹄 机不可失 畸流逸客 岌岌可危 急不可待 疾不可为 尖酸刻薄 坚不可摧 九原可作 科班出身 颗粒无收 可乘之机 可乘之隙 可歌可泣 可见一斑 可泣可歌 可有可无 渴者易饮 克爱克威 克逮克容 克敌制胜 克己复礼 克己慎行 克俭克勤 克勤克俭 刻不待时 刻不容松 刻骨相思 刻鹄成鹜 刻鹄类鹜 刻画无盐 刻肌刻骨 刻木为吏 恪守不渝 苦不可言 来世不可待 历历可辨 历历可见 历历可数 绿林豪客 磨砥刻厉 莫可究诘 弃之可惜 泣不可仰 迁臣逐客 前车可鉴 前辙可鉴 清洌可鉴 情有可原 省身克己 时不可失 俗不可医 未可厚非 未为不可 无地可容 无机可乘 无迹可求 无迹可寻 无计可施 无际可寻 无家可归 无间可乘 无间可伺 无可不可 无可非议 无可厚非 无可讳言 无可救药 无可无不可 无可争辩 无可置辩 无可置喙 无可置疑 无施不可 无时无刻 无隙可乘 惜客好义 下逐客令 夏虫不可以语冰 相克相济 相生相克 笑不可仰 形迹可疑 循名课实 杳不可闻 一时半刻 以渴服马 倚马可待 饮鸩解渴 饮鸩止渴 有案可稽 有机可乘 有利可图 有例可援 有隙可乘 愚不可及 战无不克 止渴思梅 逐客令
kong,空弦,空 空构,,空爆,,,白首空归 宝山空回 不务空名 诚惶诚恐 担惊受恐 堤溃蚁孔 咄咄书空 革带移孔 惶恐不安 架谎凿空 空城计 空谷幽兰 空室清野 空穴来风 孔武有力 孔席不适 孔席墨突 恐遭物议 利出一孔 马空冀北 买空卖空 卖空买空 目空一世 目空余子 七孔生烟 十室九空 书空咄咄 四大皆空 天马行空 五蕴皆空 眼空四海 一孔不达 一孔之见 一钱不落虚空地 一纸空文 殷浩书空 有恃无恐 有恃毋恐 鱼生空釜 圆孔方木 云净天空 争前恐后 指空话空 坐吃山空 坐食山空
ku,,苦艾,,,,,熬枯受淡 不辞劳苦 不胜其苦 摧枯拉腐 摧枯拉朽 摧枯折腐 摧枯振朽 摧朽拉枯 道边苦李 得失荣枯 焚枯食淡 鬼哭神嚎 鬼哭神号 鬼哭神惊 鬼哭粟飞 海枯见底 海枯石烂 号唃大哭 号啕大哭 涸辙枯鱼 集苑集枯 艰苦奋斗 艰苦朴素 见哭兴悲 街号巷哭 刳胎焚夭 枯骨之馀 枯木逢春 枯木生花 枯木死灰 枯木朽株 枯树逢春 枯树开花 枯树生花 枯树生华 枯朽之余 枯杨生稊 枯鱼病鹤 枯鱼涸辙 枯鱼之肆 枯燥无味 枯枝败叶 枯株朽木 哭哭啼啼 哭天喊地 哭天抹泪 哭笑不得 苦不可言 苦海无边 苦身焦思 苦思冥想 苦雨凄风 拉枯折朽 拉朽摧枯 冥思苦想 瞑思苦想 凄风苦雨 山枯石死 神嚎鬼哭 神号鬼哭 石烂海枯 水枯石烂 酸甜苦辣 啼啼哭哭 啼天哭地 甜酸苦辣 推枯折腐 纨绔子弟 韦裤布被 行号巷哭 朽株枯木 研精苦思 忆苦思甜 志坚行苦 自讨苦吃
kui,傀影,,,,,,不可揆度 不媿下学 不愧不作 不愧不怍 不愧下学 大败亏输 堤溃蚁孔 堤溃蚁穴 俯仰无愧 好汉不吃眼前亏 计绌方匮 窥豹一斑 窥间伺隙 窥见一斑 揆理度情 揆理度势 揆情度理 揆情审势 揆时度势 揆文奋武 葵藿倾阳 魁梧奇伟 跬步千里 愧悔无地 利不亏义 目不窥园 山亏一篑 十室九匮 桃李之馈 恬不知愧 兔葵燕麦 万目睽睽 为山止篑 未成一篑 隙穴之窥 孝思不匮 醒聩震聋 仰不愧天 一斑窥豹 一触即溃 一夔一契 一馈十起 蚁溃鼠骇 蚁穴溃堤 坐井窥天
la,,拉普兰德,,,,,白蜡明经 半半拉拉 半死辣活 扯纤拉烟 摧枯拉腐 摧枯拉朽 摧朽拉枯 拉捭摧藏 拉枯折朽 拉拉扯扯 拉朽摧枯 酸甜苦辣 岁时伏腊 甜酸苦辣 五侯蜡烛
lai,莱伊,莱恩哈特,,,,,触处机来 方来未艾 凤皇来仪 凤凰来仪 后来之秀 嗟来之食 空穴来风 来处不易 来好息师 来历不明 来世不可待 来者不善 来之不易 老莱娱亲 姗姗来迟 珊珊来迟 时来运来 时至运来 市井无赖 手到拈来 手到擒来 水来土掩 死乞白赖 死乞百赖 死求白赖 死求百赖 桃来李答 万赖无声 万籁无声 由来已久 有凤来仪 有来无回 有生以来 渊源有自来
lan,,蓝毒,,,,,白袷蓝衫 包揽词讼 波澜老成 博览五车 陈谷子烂芝麻 春意阑珊 摧兰折玉 芳兰竟体 鬼烂神焦 桂馥兰香 桂折兰摧 海枯石烂 好吃懒做 涸石烂 九天揽月 空谷幽兰 兰摧玉折 兰桂齐芳 兰熏桂馥 兰薰桂馥 兰芷之室 阑风伏雨 蓝田生玉 澜倒波随 览闻辩见 滥竽充数 澧兰沅芷 迁兰变鲍 青出于蓝 青蓝冰水 神焦鬼烂 石烂海枯 水枯石烂 推波助澜 文婪武嬉 一览无遗 一览无余 一揽包收 玉树芝兰 沅茞澧兰 沅芷澧兰 沅芷湘兰 芝兰玉树 芝兰之室 竹篮打水
lao,老鲤,,,,,,鞍马劳神 鞍马之劳 案牍劳形 案牍之劳 宝刀不老 宝刀未老 波澜老成 伯劳飞燕 不辞劳苦 布袋里老鸦 陈言老套 打凤捞龙 打凤牢龙 大海捞针 地老天荒 负老提幼 海底捞月 海底捞针 汗马之劳 好佚恶劳 好逸恶劳 后台老板 划地为牢 画地成牢 画地为牢 饥饱劳役 积劳成病 积劳成疾 敬老慈幼 敬老慈穉 劳身焦思 劳师糜饷 劳师袭远 劳思逸淫 劳燕分飞 劳逸结合 牢甲利兵 牢什古子 唠唠叨叨 老成见到 老大无成 老骥伏枥 老莱娱亲 老马识途 老朽无能 老于世故 老妪能解 马捉老鼠 能者多劳 青山不老 深山老林 生老病死 识涂老马 识途老马 食饥息劳 水底捞月 水底捞针 天荒地老 天老地荒 田夫野老 徒劳无益 学老于年 一家老小 一劳久逸 遗老孤臣 遗黎故老 以老卖老 以佚待劳 以逸待劳 以逸击劳 倚老卖老 逸以待劳
lei,,雷蛇,,,,,不失黍絫 不爽累黍 不越雷池 成年累月 成千累万 除疾遗类 涤地无类 肚里泪下 风掣雷行 风雷火炮 风雷之变 风行雷厉 负俗之累 积德累善 积年累岁 积年累月 积素累旧 积岁累月 疾风迅雷 洁身累行 经年累月 刻鹄类鹜 哭天抹泪 雷厉风飞 雷厉风行 雷令风行 磊瑰不羁 磊磊落落 磊落不羁 累及无辜 累土至山 累屋重架 累月经年 擂天倒地 烈火轰雷 牵物引类 嵚崎磊落 食不累味 四郊多垒 讨类知原 涕泪交集 涕泪交加 涕泪交零 涕泪交流 涕泪交下 闻雷失箸 无噍类矣 血泪斑斑 迅雷风烈 一字一泪 以此类推 以利累形 崟崎磊落 引申触类 引伸触类 有教无类 郁郁累累 岳岳磊磊 整年累月 指事类情 重葩累藻 重熙累绩 重熙累盛 重熙累叶 诸有此类 铢积丝累 铢积锱累
li,,历阵锐枪芬,砾,,,,哀毁骨立 哀毁瘠立 哀梨蒸食 安家立业 安身立命 安室利处 百里挑一 百伶百俐 百世之利 班驳陆离 斑驳陆离 暴戾恣睢 卑辞厚礼 杯水粒粟 备多力分 背井离乡 背乡离井 变醨养瘠 病骨支离 博文约礼 跛行千里 擘肌分理 不即不离 不可理喻 不立文字 不失毫厘 不遗余力 不远千里 不远万里 不知就里 不知利害 布袋里老鸦 布衣粝食 苍白无力 陈力就列 晨兢夕厉 成家立计 成家立业 承嬗离合 乘车戴笠 乘利席胜 澄神离形 吃力不讨好 尺幅千里 侈丽闳衍 赤地千里 出师不利 出震继离 除害兴利 春葩丽藻 唇不离腮 唇尖舌利 词不逮理 词正理直 大吉大利 带砺河山 带砺山河 待理不理 戴笠乘车 戴笠故交 单孑独立 殚精竭力 殚智竭力 惮赫千里 导德齐礼 蹈厉之志 道边苦李 敌力角气 砥兵砺伍 砥节厉行 砥节励行 砥节砺行 砥厉名号 砥砺风节 砥砺名号 砥砺名节 砥砺琢磨 砥身砺行 砥行立名 调理阴阳 斗丽争妍 独立自主 肚里蛔虫 肚里泪下 断无此理 咄嗟立办 飞刍挽粒 分毫析厘 分厘毫丝 分条析理 焚香礼拜 丰姿冶丽 风声鹤唳 风行雷厉 逢机立断 凤鸣鹤唳 肤末支离 肤粟股栗 扶摇万里 浮名薄利 浮名虚利 付之梨枣 富贵利达 富轹万古 缚鸡之力 格于成例 隔年皇历 孤立无援 孤立无助 谷马砺兵 酣嬉淋漓 毫厘不爽 毫厘千里 皓月千里 合情合理 河山带砺 鹤唳风声 鹤唳猿声 鸿鷑凤立 鸿消鲤息 话里藏阄 话里带刺 话里有刺 话里有话 回天无力 回天之力 疾言厉气 既得利益 坚甲厉兵 坚甲利兵 间不容砺 见利思义 交梨火枣 角立杰出 矫世厉俗 矫世励俗 矫尾厉角 阶前万里 街坊邻里 久历风尘 救时厉俗 开基立业 开阶立极 开利除害 颗粒无收 克己复礼 刻木为吏 孔武有力 揆理度情 揆理度势 揆情度理 跬步千里 来历不明 牢甲利兵 老骥伏枥 雷厉风飞 雷厉风行 梨花带雨 梨园弟子 梨园子弟 离经辨志 离离矗矗 离世异俗 离题万里 离乡背井 离乡背土 犁生髐角 嫠不恤纬 礼无不答 李白桃红 里程碑 理不胜辞 理正词直 澧兰沅芷 醴酒不设 力不能及 力不能支 力不自胜 力竭声嘶 力学笃行 力有未逮 历兵秣马 历兵粟马 历精图治 历精为治 历久弥坚 历历可辨 历历可见 历历可数 历历落落 厉兵秣马 厉兵粟马 厉精图治 厉行节约 立地书厨 立地书橱 立马万言 立命安身 立身处世 立身行己 立身扬名 立于不败之地 丽藻春葩 利不亏义 利齿伶牙 利齿能牙 利出一孔 利害得失 利喙赡辞 利深祸速 利时及物 利绾名牵 利析秋毫 励兵秣马 励精求治 励精图治 励志竭精 俐齿伶牙 砺带河山 砺戈秣马 砺山带河 詈夷为跖 伶牙俐齿 灵牙利齿 陵劲淬砺 流离播迁 流离播越 流年不利 流血千里 陆离斑驳 陆詟水栗 买犁卖剑 麦秀黍离 靡颜腻理 米粒之珠 蜜里调油 名不虚立 名利双收 明见万里 明媒正礼 谬以千里 摩厉以须 摩厉以需 摩砺以须 磨砥刻厉 磨厉以须 磨砺以须 磨砻底厉 磨砻砥砺 磨礲淬励 磨礲砥砺 秣马厉兵 能牙利齿 逆天违理 抛乡离井 崎嵚历落 綦溪利跂 岂有此理 岂有是理 千里结言 千里神交 千里迢迢 千里无烟 千里之志 千伶百俐 牵经引礼 前程万里 遣词立意 嵚崎历落 青藜学士 青云万里 轻薄无礼 情恕理遣 求名夺利 丧天害理 射利沽名 身单力薄 身历其境 身体力行 身微力薄 深厉浅揭 深情底理 声嘶力竭 盛食厉兵 诗礼之家 诗礼之训 识礼知书 实与有力 史无前例 势孤力薄 势合形离 手无缚鸡之力 首身分离 黍离麦秀 树俗立化 树元立嫡 死里求生 死里逃生 桃来李答 桃李遍天下 桃李成蹊 桃李春风 桃李精神 桃李争妍 桃李之教 桃李之馈 桃夭李艳 特立独行 天理不容 天生丽质 挑拨离间 涂歌里抃 万里迢迢 万里无云 违害就利 违利赴名 违天悖理 违天害理 违天逆理 唯力是视 唯利是求 唯利是视 唯利是图 惟力是视 惟利是命 惟利是求 惟利是视 惟利是图 惟利是逐 文治武力 无能为力 五里雾 物离乡贵 物力维艰 析交离亲 匣里龙吟 下不为例 乡利倍义 详情度理 削木为吏 销毁骨立 晓以利害 孝悌力田 笑里藏刀 兴会淋漓 兴家立业 兴利除害 兴致淋漓 星离月会 行百里者半九十 行百里者半于九十 行有余力 形销骨立 杏雨梨云 修辞立诚 修旧利废 脩辞立诚 言之成理 言之有礼 言之有理 研精殚力 扬清厉俗 阳煦山立 邀名射利 一毫千里 一行作吏 欹嵚历落 怡情理性 遗黎故老 遗世独立 以狸至鼠 以狸致鼠 以貍至鼠 以礼相待 以利累形 以桃代李 因利乘便 因势利导 崟崎历落 有害无利 有利可图 有例可援 有气没力 有气无力 有条有理 逾年历岁 喻之以理 沅茞澧兰 沅芷澧兰 猿啼鹤唳 月明千里 云程万里 战战栗栗 争名夺利 争名竞利 正言厉颜 知情达理 知书达礼 咫尺千里 咫尺万里 至理名言 志美行厉 置之不理 重理旧业 铸剑为犁 浞訾栗斯 自食其力 自私自利 左邻右里 坐立不安 坐收渔利
